controlador,archivo,t_step,ref_final,y_ss,e_ss,overshoot_pct,rmse,settling_time_s
PI,pi_run_01.csv,2.096,17000.0,16964.761904761905,35.23809523809541,10.764705882352942,1992.7035655109366,1.1
PI,pi_run_02.csv,2.096,17000.0,16968.0,32.0,11.294117647058824,1996.21704731725,1.1
PI,pi_run_03.csv,2.096,17000.0,16995.5,4.5,10.941176470588236,1997.4211498830186,1.1
PI,pi_run_04.csv,2.096,17000.0,16975.0,25.0,11.588235294117647,2003.233635899717,1.1
PI,pi_run_05.csv,2.096,17000.0,16970.0,30.0,11.294117647058824,2002.7846239673402,1.1
PI,pi_run_06.csv,2.096,17000.0,16977.5,22.5,10.705882352941176,1993.5753058261932,1.1
PI,pi_run_07.csv,2.096,17000.0,16969.5,30.5,10.941176470588236,1995.6718793428943,1.1
PI,pi_run_08.csv,2.096,17000.0,17003.5,-3.5,10.764705882352942,1992.9685772736107,1.1
PI,pi_run_09.csv,2.096,17000.0,16991.5,8.5,11.0,1996.24272071309,1.1
PI,pi_run_10.csv,2.096,17000.0,16991.5,8.5,11.058823529411764,1996.465627051966,1.1
PI,pi_run_11.csv,2.096,17000.0,16975.0,25.0,10.941176470588236,1998.8165248466403,1.1
PI,pi_run_12.csv,2.096,17000.0,16991.5,8.5,10.941176470588236,1999.4596144958766,1.1
PI,pi_run_13.csv,2.096,17000.0,17019.5,-19.5,10.529411764705882,1991.4787219551204,1.1
PI,pi_run_14.csv,2.096,17000.0,16997.0,3.0,10.941176470588236,1996.985540758871,1.1
PI,pi_run_15.csv,2.096,17000.0,16977.5,22.5,11.058823529411764,2001.9936937962616,1.1
PI,pi_run_16.csv,2.096,17000.0,16977.5,22.5,11.235294117647058,2001.195580147028,1.1
PI,pi_run_17.csv,2.096,17000.0,16985.0,15.0,11.294117647058824,2000.9638302578085,1.1
PI,pi_run_18.csv,2.096,17000.0,17017.5,-17.5,10.882352941176471,1998.8965706108959,1.1
PI,pi_run_19.csv,2.096,17000.0,16987.0,13.0,11.529411764705882,2002.3904464414527,1.1
PI,pi_run_20.csv,2.096,17000.0,16981.5,18.5,11.176470588235295,2000.706437736431,1.1
PID,pid_run_01.csv,2.096,17000.0,16971.0,29.0,10.411764705882351,1988.6697815373975,1.1
